model_name,mae_val,rmse_val,mae_train,rmse_train,r2_score_val
DecisionTree,0.28855384066134027,0.132403550893913,0.10952751699289341,0.03339210418129576,-0.09560367193241204
GradientBoosting,0.2452862885913643,0.08818420318640835,0.11248830655129026,0.032076475597267076,0.2702995035618446
RandomForest,0.2680349430679484,0.11033745901307625,0.10737637846378446,0.030950856918812546,0.08698728674371348
NeuralNetwork,0.29146600461760397,0.13687584977611286,0.12830914940714486,0.043397574118418256,-0.13261073891993802
Lasso,0.33123531210021373,0.16743834251969425,0.2354384314515613,0.08804419369930386,-0.3855071230970095
